This is the complete list of games supported by MAME GCW0 1.1 (based on 0.37b5) (Dec 23 2013)

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Klax (set 2)                     |  Yes  |  Yes  |  Yes  |  Yes  | klax2    |
| Klax (set 3)                     |  Yes  |  Yes  |  Yes  |  Yes  | klax3    |
| Klax (Japan)                     |  Yes  |  Yes  |  Yes  |  Yes  | klaxj    |
| Blasteroids (version 4)          |  Yes  |  Yes  |  Yes  |  Yes  | blstroid |
| Blasteroids (version 2)          |  Yes  |  Yes  |  Yes  |  Yes  | blstroi2 |
| Blasteroids (with heads)         |  Yes  |  Yes  |  Yes  |  Yes  | blsthead |
| Xybots                           |  Yes  |  Yes  |  Yes  |  Yes  | xybots   |
| Escape from the Planet of the Rob|  Yes  |  Yes  |  Yes  |  Yes  | eprom    |
| Escape from the Planet of the Rob|  Yes  |  Yes  |  Yes  |  Yes  | eprom2   |
| Skull & Crossbones (set 1)       |  Yes  |  Yes  |  Yes  |  Yes  | skullxbo |
| Skull & Crossbones (set 2)       |  Yes  |  Yes  |  Yes  |  Yes  | skullxb2 |
| Bad Lands                        |  Yes  |  Yes  |  Yes  |  Yes  | badlands |
| Cyberball (Version 4)            |  Yes  |  Yes  |  Yes  |  Yes  | cyberbal |
| Cyberball (Version 2)            |  Yes  |  Yes  |  Yes  |  Yes  | cyberba2 |
| Tournament Cyberball 2072        |  Yes  |  Yes  |  Yes  |  Yes  | cyberbt  |
| Cyberball 2072 (2 player)        |  Yes  |  Yes  |  Yes  |  Yes  | cyberb2p |
| Rampart (3-player Trackball)     |  Yes  |  Yes  |  Yes  |  Yes  | rampart  |
| Rampart (2-player Joystick)      |  Yes  |  Yes  |  Yes  |  Yes  | ramprt2p |
| Rampart (Japan, 2-player Joystick|  Yes  |  Yes  |  Yes  |  Yes  | rampartj |
| Shuuz (version 8.0)              |  Yes  |  Yes  |  Yes  |  Yes  | shuuz    |
| Shuuz (version 7.1)              |  Yes  |  Yes  |  Yes  |  Yes  | shuuz2   |
| Hydra                            |  Yes  |  Yes  |  Yes  |  Yes  | hydra    |
| Hydra (prototype)                |  Yes  |  Yes  |  Yes  |  Yes  | hydrap   |
| Pit Fighter (version 4)          |  Yes  |  Yes  |  Yes  |  Yes  | pitfight |
| Pit Fighter (version 3)          |  Yes  |  Yes  |  Yes  |  Yes  | pitfigh3 |
| ThunderJaws                      |  Yes  |  Yes  |  Yes  |  Yes  | thunderj |
| Batman                           |  Yes  |  Yes  |  Yes  |  Yes  | batman   |
| Relief Pitcher (set 1)           |  Yes  |  Yes  |  Yes  |  Yes  | relief   |
| Relief Pitcher (set 2)           |  Yes  |  Yes  |  Yes  |  Yes  | relief2  |
| Off the Wall (2/3-player upright)|  Yes  |  Yes  |  Yes  |  Yes  | offtwall |
| Off the Wall (2-player cocktail) |  Yes  |  Yes  |  Yes  |  Yes  | offtwalc |
| Arcade Classics (prototype)      |  Yes  |  Yes  |  Yes  |  Yes  | arcadecl |
| Sparkz (prototype)               |  Yes  |  Yes  |  Yes  |  Yes  | sparkz   |
| Fire Truck                       |  Yes  |  Yes  |  Yes  |  Yes  | firetrk  |
| Sasuke vs. Commander             |  Yes  |  Yes  |   No  |  Yes  | sasuke   |
| Satan of Saturn                  |  Yes  |  Yes  |Partial|  Yes  | satansat |
| Zarzon                           |  Yes  |  Yes  |Partial|  Yes  | zarzon   |
| Vanguard (SNK)                   |  Yes  |  Yes  |Partial|  Yes  | vanguard |
| Vanguard (Centuri)               |  Yes  |  Yes  |Partial|  Yes  | vangrdce |
| Fantasy (US)                     |  Yes  |  Yes  |Partial|  Yes  | fantasy  |
| Fantasy (Japan)                  |  Yes  |  Yes  |Partial|  Yes  | fantasyj |
| Pioneer Balloon                  |  Yes  |  Yes  |Partial|  Yes  | pballoon |
| Nibbler (set 1)                  |  Yes  |  Yes  |Partial|  Yes  | nibbler  |
| Nibbler (set 2)                  |  Yes  |  Yes  |Partial|  Yes  | nibblera |
| Lasso                            |  Yes  |  Yes  |  Yes  |  Yes  | lasso    |
| Joyful Road (US)                 |  Yes  |  Yes  |  Yes  |  Yes  | joyfulr  |
| Munch Mobile (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | mnchmobl |
| Marvin's Maze                    |  Yes  |  Yes  |  Yes  |  Yes  | marvins  |
| Mad Crasher                      |  Yes  |  Yes  |Partial|  Yes  | madcrash |
| Vanguard II                      |  Yes  |  Yes  |  Yes  |  Yes  | vangrd2  |
| HAL21                            |  Yes  |   No  |   No  |  Yes  | hal21    |
| HAL21 (Japan)                    |  Yes  |   No  |   No  |  Yes  | hal21j   |
| ASO - Armored Scrum Object       |  Yes  |  Yes  |Partial|  Yes  | aso      |
| TNK III (US?)                    |  Yes  |  Yes  |  Yes  |   No  | tnk3     |
| Tank (Japan)                     |  Yes  |  Yes  |  Yes  |   No  | tnk3j    |
| Athena                           |  Yes  |  Yes  |  Yes  |   No  | athena   |
| Fighting Golf                    |  Yes  |  Yes  |  Yes  |   No  | fitegolf |
| Ikari Warriors (US)              |  Yes  |  Yes  |  Yes  |   No  | ikari    |
| Ikari Warriors (Japan)           |  Yes  |  Yes  |  Yes  |   No  | ikarijp  |
| Ikari Warriors (Japan bootleg)   |  Yes  |  Yes  |  Yes  |   No  | ikarijpb |
| Victory Road                     |  Yes  |  Yes  |  Yes  |   No  | victroad |
| Dogou Souken                     |  Yes  |  Yes  |  Yes  |   No  | dogosoke |
| Guerrilla War (US)               |  Yes  |  Yes  |  Yes  |   No  | gwar     |
| Guevara (Japan)                  |  Yes  |  Yes  |  Yes  |   No  | gwarj    |
| Guerrilla War (Version 1)        | No(1) |  Yes  |  Yes  |   No  | gwara    |
| Guerrilla War (bootleg)          |  Yes  |  Yes  |  Yes  |   No  | gwarb    |
| Bermuda Triangle (US)            |  Yes  |  Yes  |  Yes  |   No  | bermudat |
| Bermuda Triangle (Japan)         |  Yes  |  Yes  |  Yes  |   No  | bermudaj |
| Bermuda Triangle (US early versio|  Yes  |  Yes  |  Yes  |   No  | bermudaa |
| World Wars (Japan)               |  Yes  |  Yes  |  Yes  |   No  | worldwar |
| Psycho Soldier (US)              |  Yes  |  Yes  |Partial|   No  | psychos  |
| Psycho Soldier (Japan)           |  Yes  |  Yes  |Partial|   No  | psychosj |
| Chopper I                        |  Yes  |  Yes  |Partial|   No  | chopper  |
| Koukuu Kihei Monogatari - The Leg|  Yes  |  Yes  |Partial|   No  | legofair |
| Fighting Soccer                  |  Yes  |  Yes  |  Yes  |   No  | ftsoccer |
| TouchDown Fever                  |  Yes  |  Yes  |  Yes  |   No  | tdfever  |
| TouchDown Fever (Japan)          |  Yes  |  Yes  |  Yes  |   No  | tdfeverj |
| Ikari III - The Rescue           |  Yes  |  Yes  |  Yes  |  Yes  | ikari3   |
| P.O.W. - Prisoners of War (US)   |  Yes  |  Yes  |  Yes  |  Yes  | pow      |
| Datsugoku - Prisoners of War (Jap|  Yes  |  Yes  |  Yes  |  Yes  | powj     |
| SAR - Search And Rescue (World)  |  Yes  |  Yes  |  Yes  |  Yes  | searchar |
| SAR - Search And Rescue (US)     |  Yes  |  Yes  |  Yes  |  Yes  | sercharu |
| Street Smart (US version 2)      |  Yes  |  Yes  |  Yes  |  Yes  | streetsm |
| Street Smart (US version 1)      |  Yes  |  Yes  |  Yes  |  Yes  | streets1 |
| Street Smart (Japan version 1)   |  Yes  |  Yes  |  Yes  |  Yes  | streetsj |
| Prehistoric Isle in 1930 (World) |  Yes  |  Yes  |  Yes  |   No  | prehisle |
| Prehistoric Isle in 1930 (US)    |  Yes  |  Yes  |  Yes  |   No  | prehislu |
| Genshi-Tou 1930's                |  Yes  |  Yes  |  Yes  |   No  | gensitou |
| Super Stingray                   |  Yes  |   No  |   No  |  Yes  | sstingry |
| Kyros                            |  Yes  |   No  |   No  |  Yes  | kyros    |
| Time Soldiers (US Rev 3)         |  Yes  |  Yes  |  Yes  |  Yes  | timesold |
| Time Soldiers (US Rev 1)         |  Yes  |  Yes  |  Yes  |  Yes  | timesol1 |
| Battle Field (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | btlfield |
| Sky Soldiers (US)                |  Yes  |  Yes  |  Yes  |  Yes  | skysoldr |
| Gold Medalist                    |   No  |  Yes  |  Yes  |   No  | goldmedl |
| Sky Adventure (US)               |  Yes  |  Yes  |  Yes  |   No  | skyadvnt |
| Gang Wars (US)                   |  Yes  |  Yes  |  Yes  |  Yes  | gangwars |
| Gang Wars (bootleg)              |  Yes  |  Yes  |  Yes  |  Yes  | gangwarb |
| Super Champion Baseball          |  Yes  |  Yes  |  Yes  |   No  | sbasebal |
| Champion Baseball                |  Yes  |  Yes  |  Yes  |  Yes  | champbas |
| Champion Baseball (Japan)        | No(1) |  Yes  |  Yes  |  Yes  | champbbj |
| Champion Baseball II             |   No  |  Yes  |  Yes  |  Yes  | champbb2 |
| Exciting Soccer                  |  Yes  |  Yes  |  Yes  |   No  | exctsccr |
| Exciting Soccer (alternate music)|  Yes  |  Yes  |  Yes  |   No  | exctscca |
| Exciting Soccer (bootleg)        |  Yes  |  Yes  |  Yes  |   No  | exctsccb |
| Exciting Soccer II               | No(1) |  Yes  |  Yes  |   No  | exctscc2 |
| Scrambled Egg                    |  Yes  |  Yes  |  Yes  |  Yes  | scregg   |
| Eggs                             |  Yes  |  Yes  |  Yes  |  Yes  | eggs     |
| Big Pro Wrestling!, The          |  Yes  |  Yes  |  Yes  |  Yes  | bigprowr |
| Tag Team Wrestling               |  Yes  |  Yes  |  Yes  |  Yes  | tagteam  |
| Syusse Oozumou (Japan)           |  Yes  |  Yes  |  Yes  |   No  | ssozumo  |
| Mysterious Stones                |  Yes  |  Yes  |  Yes  |  Yes  | mystston |
| Bogey Manor                      |  Yes  | Close |  Yes  |   No  | bogeyman |
| Mat Mania                        |  Yes  |  Yes  |  Yes  |  Yes  | matmania |
| Exciting Hour                    |  Yes  |  Yes  |  Yes  |  Yes  | excthour |
| Mania Challenge (set 1)          |  Yes  |  Yes  |  Yes  |  Yes  | maniach  |
| Mania Challenge (set 2)          |  Yes  |  Yes  |  Yes  |  Yes  | maniach2 |
| Renegade (US)                    |  Yes  |  Yes  |  Yes  |   No  | renegade |
| Nekketsu Kouha Kunio-kun (Japan) |  Yes  |  Yes  |  Yes  |   No  | kuniokun |
| Nekketsu Kouha Kunio-kun (Japan b|  Yes  |  Yes  |  Yes  |   No  | kuniokub |
| Xain'd Sleena                    |  Yes  |  Yes  |  Yes  |  Yes  | xsleena  |
| Xain'd Sleena (bootleg)          |  Yes  |  Yes  |  Yes  |  Yes  | xsleenab |
| Solar Warrior                    |  Yes  |  Yes  |  Yes  |  Yes  | solarwar |
| Battle Lane Vol. 5 (set 1)       |  Yes  |  Yes  |  Yes  |   No  | battlane |
| Battle Lane Vol. 5 (set 2)       |  Yes  |  Yes  |  Yes  |   No  | battlan2 |
| Battle Lane Vol. 5 (set 3)       |  Yes  |  Yes  |  Yes  |   No  | battlan3 |
| Double Dragon (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | ddragon  |
| Double Dragon (US)               |  Yes  |  Yes  |  Yes  |  Yes  | ddragonu |
| Double Dragon (bootleg)          |  Yes  |  Yes  |  Yes  |  Yes  | ddragonb |
| Double Dragon II - The Revenge   |  Yes  |  Yes  |  Yes  |  Yes  | ddragon2 |
| Combatribes, The (US)            |  Yes  |  Yes  |  Yes  |   No  | ctribe   |
| Combatribes, The (bootleg)       |  Yes  |  Yes  |  Yes  |   No  | ctribeb  |
| Block Out (set 1)                |  Yes  |  Yes  |  Yes  |  Yes  | blockout |
| Block Out (set 2)                |  Yes  |  Yes  |  Yes  |  Yes  | blckout2 |
| Double Dragon 3 - The Rosetta Sto|  Yes  |  Yes  |  Yes  |   No  | ddragon3 |
| Double Dragon 3 - The Rosetta Sto|  Yes  |  Yes  |  Yes  |   No  | ddrago3b |
| Berzerk (set 1)                  |  Yes  |  Yes  | Yes(2)|  Yes  | berzerk  |
| Berzerk (set 2)                  |  Yes  |  Yes  | Yes(2)|  Yes  | berzerk1 |
| Frenzy                           |  Yes  |  Yes  | Yes(2)|  Yes  | frenzy   |
| MegaTack                         |  Yes  |  Yes  |  Yes  |  Yes  | megatack |
| Killer Comet                     |  Yes  |  Yes  |  Yes  |  Yes  | killcom  |
| Challenger                       |  Yes  |  Yes  |  Yes  |  Yes  | challeng |
| Kaos                             |  Yes  |  Yes  |  Yes  |  Yes  | kaos     |
| Route 16                         |  Yes  |  Yes  |  Yes  |  Yes  | route16  |
| Route 16 (bootleg)               |  Yes  |  Yes  |  Yes  |  Yes  | route16b |
| Stratovox                        |  Yes  |  Yes  |  Yes  |  Yes  | stratvox |
| Stratovox (bootleg)              |  Yes  |  Yes  |  Yes  |  Yes  | stratvxb |
| Speak & Rescue                   |  Yes  |  Yes  |  Yes  |  Yes  | speakres |
| T.T. Mahjong                     |  Yes  |  Yes  |  Yes  |  Yes  | ttmahjng |
| Money Money                      |  Yes  |  Yes  |Partial|  Yes  | monymony |
| Jack Rabbit (set 1)              |  Yes  |  Yes  |Partial|  Yes  | jackrabt |
| Jack Rabbit (set 2)              |  Yes  |  Yes  |Partial|  Yes  | jackrab2 |
| Jack Rabbit (special)            |  Yes  |  Yes  |Partial|  Yes  | jackrabs |
| Nova 2001 (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | nova2001 |
| Nova 2001 (US)                   |  Yes  |  Yes  |  Yes  |  Yes  | nov2001u |
| Penguin-Kun Wars (US)            |  Yes  |  Yes  |  Yes  |  Yes  | pkunwar  |
| Penguin-Kun Wars (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | pkunwarj |
| Ninja Kid II (set 1)             |  Yes  |  Yes  |   No  |  Yes  | ninjakd2 |
| Ninja Kid II (set 2)             |  Yes  |  Yes  |  Yes  |  Yes  | ninjak2a |
| Ninja Kid II (set 3)             |  Yes  |  Yes  |  Yes  |  Yes  | ninjak2b |
| Rad Action                       |  Yes  |  Yes  |  Yes  |  Yes  | rdaction |
| Mutant Night                     |  Yes  |  Yes  |  Yes  |  Yes  | mnight   |
| Ark Area                         |  Yes  |  Yes  |  Yes  |  Yes  | arkarea  |
| Narc (rev 7.00)                  |  Yes  |  Yes  |  Yes  |  Yes  | narc     |
| Narc (rev 3.20)                  |  Yes  |  Yes  |  Yes  |  Yes  | narc3    |
| Trog (rev LA4 03/11/91)          |  Yes  |  Yes  |  Yes  |  Yes  | trog     |
| Trog (rev LA3 02/14/91)          |  Yes  |  Yes  |  Yes  |  Yes  | trog3    |
| Trog (prototype, rev 4.00 07/27/9|  Yes  |  Yes  |  Yes  |  Yes  | trogp    |
| Smash T.V. (rev 8.00)            |  Yes  |  Yes  |  Yes  |  Yes  | smashtv  |
| Smash T.V. (rev 6.00)            |  Yes  |  Yes  |  Yes  |  Yes  | smashtv6 |
| Smash T.V. (rev 5.00)            |  Yes  |  Yes  |  Yes  |  Yes  | smashtv5 |
| Smash T.V. (rev 4.00)            |  Yes  |  Yes  |  Yes  |  Yes  | smashtv4 |
| High Impact Football (rev LA3 12/|  Yes  |  Yes  |  Yes  |  Yes  | hiimpact |
| Super High Impact (rev LA1 09/30/|   No  |  Yes  |  Yes  |  Yes  | shimpact |
| Strike Force (rev 1 02/25/91)    |  Yes  |  Yes  |  Yes  |  Yes  | strkforc |
| Mortal Kombat (rev 5.0 T-Unit 03/|  Yes  |  Yes  |  Yes  |  Yes  | mk       |
| Mortal Kombat (rev 1.0 08/08/92) |  Yes  |  Yes  |  Yes  |  Yes  | mkla1    |
| Mortal Kombat (rev 2.0 08/18/92) |  Yes  |  Yes  |  Yes  |  Yes  | mkla2    |
| Mortal Kombat (rev 3.0 08/31/92) |  Yes  |  Yes  |  Yes  |  Yes  | mkla3    |
| Mortal Kombat (rev 4.0 09/28/92) |  Yes  |  Yes  |  Yes  |  Yes  | mkla4    |
| Terminator 2 - Judgment Day (rev |  Yes  |  Yes  |  Yes  |  Yes  | term2    |
| Total Carnage (rev LA1 03/10/92) |  Yes  |  Yes  |  Yes  |  Yes  | totcarn  |
| Total Carnage (prototype, rev 1.0|  Yes  |  Yes  |  Yes  |  Yes  | totcarnp |
| Mortal Kombat II (rev L3.1)      |  Yes  |  Yes  |  Yes  |  Yes  | mk2      |
| Mortal Kombat II (rev L3.2 (Europ|  Yes  |  Yes  |  Yes  |  Yes  | mk2r32   |
| Mortal Kombat II (rev L1.4)      |  Yes  |  Yes  |  Yes  |  Yes  | mk2r14   |
| NBA Jam (rev 3.01 04/07/93)      |  Yes  |  Yes  |  Yes  |  Yes  | nbajam   |
| NBA Jam (rev 2.00 02/10/93)      |  Yes  |  Yes  |  Yes  |  Yes  | nbajamr2 |
| NBA Jam TE (rev 4.0 03/23/94)    |  Yes  |  Yes  |  Yes  |  Yes  | nbajamte |
| NBA Jam TE (rev 1.0 01/17/94)    |  Yes  |  Yes  |  Yes  |  Yes  | nbajamt1 |
| NBA Jam TE (rev 2.0 01/28/94)    |  Yes  |  Yes  |  Yes  |  Yes  | nbajamt2 |
| NBA Jam TE (rev 3.0 03/04/94)    |  Yes  |  Yes  |  Yes  |  Yes  | nbajamt3 |
| Mortal Kombat 3 (rev 2.1)        |  Yes  |  Yes  |  Yes  |  Yes  | mk3      |
| Mortal Kombat 3 (rev 2.0)        |  Yes  |  Yes  |  Yes  |  Yes  | mk3r20   |
| Mortal Kombat 3 (rev 1.0)        |  Yes  |  Yes  |  Yes  |  Yes  | mk3r10   |
| Ultimate Mortal Kombat 3 (rev 1.2|  Yes  |  Yes  |  Yes  |  Yes  | umk3     |
| Ultimate Mortal Kombat 3 (rev 1.1|  Yes  |  Yes  |  Yes  |  Yes  | umk3r11  |
| WWF: Wrestlemania (rev 1.30)     |  Yes  |  Yes  |  Yes  |  Yes  | wwfmania |
| 2 On 2 Open Ice Challenge (rev 1.|  Yes  |  Yes  |  Yes  |  Yes  | openice  |
| NBA Maximum Hangtime (rev 1.0)   |  Yes  |  Yes  |  Yes  |  Yes  | nbamaxht |
| Rampage: World Tour (rev 1.3)    |  Yes  |  Yes  |  Yes  |  Yes  | rmpgwt   |
| Rampage: World Tour (rev 1.1)    |  Yes  |  Yes  |  Yes  |  Yes  | rmpgwt11 |
| Jack the Giantkiller (set 1)     |  Yes  |  Yes  |  Yes  |  Yes  | jack     |
| Jack the Giantkiller (set 2)     |  Yes  |  Yes  |  Yes  |  Yes  | jack2    |
| Jack the Giantkiller (set 3)     |  Yes  |  Yes  |  Yes  |  Yes  | jack3    |
| Treasure Hunt (Japan?)           |  Yes  |  Yes  |  Yes  |  Yes  | treahunt |
| Zzyzzyxx (set 1)                 |  Yes  |  Yes  |  Yes  |  Yes  | zzyzzyxx |
| Zzyzzyxx (set 2)                 |  Yes  |  Yes  |  Yes  |  Yes  | zzyzzyx2 |
| Brix                             |  Yes  |  Yes  |  Yes  |  Yes  | brix     |
| Freeze                           |  Yes  |  Yes  |  Yes  |  Yes  | freeze   |
| Super Casino                     |  Yes  |  Yes  |  Yes  |  Yes  | sucasino |
| Space Wars                       |  Yes  |  Yes  | Yes(2)|  Yes  | spacewar |
| Barrier                          |  Yes  |  Yes  |  Yes  |  Yes  | barrier  |
| Star Castle (version 3)          |  Yes  |  Yes  | Yes(2)|  Yes  | starcas  |
| Star Castle (older)              |  Yes  |  Yes  | Yes(2)|  Yes  | starcas1 |
| Tailgunner                       |  Yes  |  Yes  |  Yes  |  Yes  | tailg    |
| Rip Off                          |  Yes  |  Yes  | Yes(2)|  Yes  | ripoff   |
| Armor Attack                     |  Yes  |  Yes  |  Yes  |  Yes  | armora   |
| War of the Worlds                |  Yes  | Close |  Yes  |  Yes  | wotw     |
| Warrior                          |  Yes  |  Yes  | Yes(2)|  Yes  | warrior  |
| Star Hawk                        |  Yes  |  Yes  |  Yes  |  Yes  | starhawk |
| Solar Quest                      |  Yes  |  Yes  | Yes(2)|  Yes  | solarq   |
| Boxing Bugs                      |  Yes  | Close |  Yes  |  Yes  | boxingb  |
| Speed Freak                      |  Yes  |  Yes  |  Yes  |  Yes  | speedfrk |
| Sundance                         |   No  |  Yes  |  Yes  |  Yes  | sundance |
| Demon                            |  Yes  |  Yes  |  Yes  |  Yes  | demon    |
| Cosmic Chasm (set 1)             |  Yes  |  Yes  |  Yes  |  Yes  | cchasm   |
| Cosmic Chasm (set 2)             |  Yes  |  Yes  |  Yes  |  Yes  | cchasm1  |
| Round-Up                         |  Yes  |  Yes  |  Yes  |  Yes  | roundup  |
| Fitter                           |  Yes  |  Yes  |  Yes  |  Yes  | fitter   |
| Pit, The                         |  Yes  |  Yes  |  Yes  |  Yes  | thepit   |
| Intrepid (set 1)                 |  Yes  |  Yes  |  Yes  |  Yes  | intrepid |
| Intrepid (set 2)                 |  Yes  |  Yes  |  Yes  |  Yes  | intrepi2 |
| Port Man                         |  Yes  |  Yes  |  Yes  |  Yes  | portman  |
| Super Mouse                      |  Yes  |   No  |  Yes  |  Yes  | suprmous |
| Funny Mouse (bootleg?)           |  Yes  |   No  |  Yes  |  Yes  | suprmou2 |
| Macho Mouse                      |  Yes  |   No  |  Yes  |  Yes  | machomou |
| Bagman                           |  Yes  |  Yes  |Partial|  Yes  | bagman   |
| Le Bagnard                       |  Yes  |  Yes  |Partial|  Yes  | bagnard  |
| Bagman (Stern set 1)             |  Yes  |  Yes  |Partial|  Yes  | bagmans  |
| Bagman (Stern set 2)             |  Yes  |  Yes  |Partial|  Yes  | bagmans2 |
| Super Bagman                     |  Yes  |  Yes  |Partial|  Yes  | sbagman  |
| Super Bagman (Stern)             |  Yes  |  Yes  |Partial|  Yes  | sbagmans |
| Pickin'                          |  Yes  |  Yes  |  Yes  |  Yes  | pickin   |
| Stinger                          |  Yes  |  Yes  |  Yes  |  Yes  | stinger  |
| Scion                            |  Yes  |  Yes  |  Yes  |  Yes  | scion    |
| Scion (Cinematronics)            |  Yes  |  Yes  |  Yes  |  Yes  | scionc   |
| Wiz                              |  Yes  |  Yes  |  Yes  |  Yes  | wiz      |
| Wiz (Taito)                      |  Yes  |  Yes  |  Yes  |  Yes  | wizt     |
| Empire City: 1931 (bootleg?)     |  Yes  |  Yes  |  Yes  |  Yes  | empcity  |
| Empire City: 1931 (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | empcityj |
| Street Fight (Germany)           |  Yes  |  Yes  |  Yes  |  Yes  | stfight  |
| Dynamite Duke                    |  Yes  |  Yes  |   No  |  Yes  | dynduke  |
| Double Dynamites, The            |  Yes  |  Yes  |   No  |  Yes  | dbldyn   |
| Raiden                           |  Yes  |  Yes  |  Yes  |  Yes  | raiden   |
| Raiden (Alternate Hardware)      |  Yes  |  Yes  |  Yes  |  Yes  | raidena  |
| Raiden (Korea)                   |  Yes  |  Yes  |  Yes  |  Yes  | raidenk  |
| D-Con                            |  Yes  |  Yes  |  Yes  |   No  | dcon     |
| Knuckle Joe (set 1)              |  Yes  |  Yes  |  Yes  |  Yes  | kncljoe  |
| Knuckle Joe (set 2)              |  Yes  |  Yes  |  Yes  |  Yes  | kncljoea |
| Cabal (US set 1)                 | No(1) |  Yes  |Partial|   No  | cabal    |
| Cabal (US set 2)                 | No(1) |  Yes  |Partial|   No  | cabal2   |
| Cabal (bootleg)                  |  Yes  |  Yes  |Partial|   No  | cabalbl  |
| Toki (World set 1)               |  Yes  |  Yes  |  Yes  |  Yes  | toki     |
| Toki (World set 2)               |  Yes  |  Yes  |  Yes  |  Yes  | tokia    |
| JuJu Densetsu (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | tokij    |
| Toki (US)                        |  Yes  |  Yes  |  Yes  |  Yes  | tokiu    |
| Toki (bootleg)                   |  Yes  |  Yes  |  Yes  |  Yes  | tokib    |
| Blood Bros.                      |  Yes  |  Yes  |  Yes  |  Yes  | bloodbro |
| West Story                       |  Yes  |  Yes  |  Yes  |  Yes  | weststry |
| Exerion                          |  Yes  | Close |  Yes  |  Yes  | exerion  |
| Exerion (Taito)                  |  Yes  | Close |  Yes  |  Yes  | exeriont |
| Exerion (bootleg)                |  Yes  | Close |  Yes  |  Yes  | exerionb |
| Formation Z                      |  Yes  | Close |  Yes  |  Yes  | formatz  |
| Aeroboto                         |  Yes  | Close |  Yes  |  Yes  | aeroboto |
| City Connection (set 1)          |  Yes  |  Yes  |  Yes  |  Yes  | citycon  |
| City Connection (set 2)          |  Yes  |  Yes  |  Yes  |  Yes  | citycona |
| Cruisin                          |  Yes  |  Yes  |  Yes  |  Yes  | cruisin  |
| Pinbo                            |  Yes  |  Yes  |  Yes  |  Yes  | pinbo    |
| Pinbo (Strike)                   |  Yes  |  Yes  |  Yes  |  Yes  | pinbos   |
| Psychic 5                        |  Yes  |  Yes  |  Yes  |   No  | psychic5 |
| Ginga NinkyouDen                 |  Yes  |  Yes  |  Yes  |  Yes  | ginganin |
| Cisco Heat                       |  Yes  |  Yes  |  Yes  |  Yes  | cischeat |
| F1 Grand Prix Star               |  Yes  |  Yes  |  Yes  |  Yes  | f1gpstar |
| Sky Fox                          |  Yes  |  Yes  |  Yes  |  Yes  | skyfox   |
| Exerizer (Japan) (bootleg)       |  Yes  |  Yes  |  Yes  |  Yes  | exerizrb |
| Argus                            |  Yes  |  Yes  |  Yes  |  Yes  | argus    |
| Valtric                          |  Yes  |  Yes  |  Yes  |  Yes  | valtric  |
| Butasan (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | butasan  |
| Momoko 120%                      |  Yes  |  Yes  |  Yes  |  Yes  | momoko   |
| Legend of Makai (World)          |  Yes  |  Yes  |  Yes  |  Yes  | lomakai  |
| Makai Densetsu (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | makaiden |
| P-47 - The Phantom Fighter (World|  Yes  |  Yes  |  Yes  |  Yes  | p47      |
| P-47 - The Freedom Fighter (Japan|  Yes  |  Yes  |  Yes  |  Yes  | p47j     |
| Kick Off (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | kickoff  |
| Takeda Shingen (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | tshingen |
| Astyanax, The                    |  Yes  |  Yes  |  Yes  |  Yes  | astyanax |
| Lord of King, The (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | lordofk  |
| Hachoo!                          |  Yes  |  Yes  |  Yes  |  Yes  | hachoo   |
| Plus Alpha                       |  Yes  |  Yes  |  Yes  |  Yes  | plusalph |
| Saint Dragon                     |  Yes  |  Yes  |  Yes  |  Yes  | stdragon |
